text,label
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
How was your trip to Da Nang?,ham
"Hey, are we still meeting for lunch?",ham
Don't forget to bring your notebook tomorrow.,ham
Your order has been shipped successfully.,ham
Dinner at 7pm works great for me.,ham
Can you call me when you’re free?,ham
Your OTP is 458392.,ham
Meeting has been moved to 3 PM.,ham
Congrats on your promotion!,ham
"Thanks for the gift, really appreciated.",ham
